user_id,collection_id,competency_code
0635a8a8-43bd-4238-b578-2256fdb47e14,0e7f5a51-fcf6-4613-8b09-5c54958a2c64,K12.MA-A1-A-REI.B.01
0635a8a8-43bd-4238-b578-2256fdb47e14,4d75823c-5866-4502-99e7-79c7e178b28f,K12.MA-A1-A-REI.B.01
0635a8a8-43bd-4238-b578-2256fdb47e14,630253b3-536b-43b1-b610-c168324b850a,K12.MA-A1-A-REI.B.01
0635a8a8-43bd-4238-b578-2256fdb47e14,77ba0aac-b5c6-475e-aed3-2e8f86c318fc,K12.MA-A1-A-REI.B.01
0635a8a8-43bd-4238-b578-2256fdb47e14,f8e68eea-348c-45bf-8f4e-38dd9a803d0e,K12.MA-A1-A-REI.B.01
09be234f-26a3-4f96-af34-4ab2e0cb1d46,921f173d-394c-4bb8-9947-3182fb394f88,K12.MA-A1-A-REI.C.02
0aff6747-143f-40a6-9e3f-6a51ad0b1365,832d633f-04a2-485d-9d0b-b45da97494db,K12.MA-A1-A-REI.B.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,01d51b62-eaa5-47f6-a827-2acef124be3f,K12.MA-A1-A-REI.B.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,1ada4f91-73d1-4e35-9250-e42d795ec408,K12.MA-A1-A-REI.B.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,1ecc1b15-b182-4f34-b247-893c0877be4e,K12.MA-A1-A-REI.B.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,3ce3d1e5-0e1d-4c37-a72e-58f72ba33916,K12.MA-A1-A-REI.B.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,5bceb7f6-6e05-4200-957d-1caa13f8e455,K12.MA-A1-A-REI.D.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,6faed6d6-ba6e-4cbd-a24c-3c4315a255fb,K12.MA-A1-A-REI.A.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,6faed6d6-ba6e-4cbd-a24c-3c4315a255fb,K12.MA-A1-A-REI.B.01
0bf1ec25-e377-4f80-8e33-fd286aa44e28,85ca1e74-b33d-4972-87e9-0b2424a15ab2,K12.MA-A1-A-REI.B.01
0cad4d57-76f1-4181-93f3-dc6d20343dfd,832d633f-04a2-485d-9d0b-b45da97494db,K12.MA-A1-A-REI.B.01
0cad4d57-76f1-4181-93f3-dc6d20343dfd,ecd57db4-e4aa-4c75-90c6-a0f5708c6ece,K12.MA-A1-A-REI.B.01
0ce6d46b-bc5f-4c64-ac3b-572ab022cd95,921f173d-394c-4bb8-9947-3182fb394f88,K12.MA-A1-A-REI.C.02
0ee2c2ab-4375-4a9b-be5a-f739572b116d,ecd57db4-e4aa-4c75-90c6-a0f5708c6ece,K12.MA-A1-A-REI.B.01
1287e2e5-c791-480d-9def-73bed8061647,0c68f87f-e568-4e23-b8e4-1f7465affb82,K12.MA-A1-A-REI.B.01
12b6e1ed-415f-4ee1-8733-49e0abc7dc30,921f173d-394c-4bb8-9947-3182fb394f88,K12.MA-A1-A-REI.C.02
13443a06-ebd4-42ab-b14d-375a6a6a2947,832d633f-04a2-485d-9d0b-b45da97494db,K12.MA-A1-A-REI.B.01
13443a06-ebd4-42ab-b14d-375a6a6a2947,ecd57db4-e4aa-4c75-90c6-a0f5708c6ece,K12.MA-A1-A-REI.B.01
15f1169b-f8d9-42e1-b934-baa86dcb9083,3dcff42a-05e8-45ea-988e-70a5e3543083,K12.MA-A1-A-REI.B.01
15f1169b-f8d9-42e1-b934-baa86dcb9083,832d633f-04a2-485d-9d0b-b45da97494db,K12.MA-A1-A-REI.B.01
16a254e1-d3f6-4b2b-9038-f61cd76a6754,921f173d-394c-4bb8-9947-3182fb394f88,K12.MA-A1-A-REI.C.02
172404fa-d36f-4166-a582-887b5b99c68e,399ebf19-ab2e-4a53-a8fd-39a0fb8369e5,K12.MA-A1-A-REI.C.02
