"V1","V2","V3","V4","V5","V6","V7","V8","V9"
0,0,0.374407585445456,0,0,0,0,0,0
0,0,0.148524923320189,0,0,0,0,0,0
0,0,0.0119047619047619,0,0,0,0,0,0
0.0275229357798166,0,0.229357799668925,0,0,0,0,0,0
0,0,0.135135135135135,0,0,0,0,0,0
0.0303030303030303,0,0.454545454545455,0,0,0,0,0,0
0,0,0.0643776824354103,0,0,0,0,0,0
0,0,0.263888887509152,0,0,0,0,0,0
0,0,0.0135135137148805,0,0,0,0,0,0
