user_id,collection_id,competency_code
00618043-e92f-4c17-bb3a-7ea3024562f3,1c8e25c8-defe-423e-955f-176a23134ad4,K12.MA-MA3-OAT-A.01
00618043-e92f-4c17-bb3a-7ea3024562f3,3062c36f-e986-40ba-ad3d-9e25304b6d5e,K12.MA-MA3-OAT-A.01
00618043-e92f-4c17-bb3a-7ea3024562f3,3062c36f-e986-40ba-ad3d-9e25304b6d5e,K12.MA-MA3-OAT-A.04
00618043-e92f-4c17-bb3a-7ea3024562f3,3062c36f-e986-40ba-ad3d-9e25304b6d5e,K12.MA-MA3-OAT-A.03
00618043-e92f-4c17-bb3a-7ea3024562f3,3062c36f-e986-40ba-ad3d-9e25304b6d5e,K12.MA-MA3-OAT-A.02
00618043-e92f-4c17-bb3a-7ea3024562f3,a5c9b597-9310-4433-a845-7247bd1b9ea5,K12.MA-MA3-OAT-A.01
00618043-e92f-4c17-bb3a-7ea3024562f3,a5c9b597-9310-4433-a845-7247bd1b9ea5,K12.MA-MA3-OAT-A.02
00618043-e92f-4c17-bb3a-7ea3024562f3,a5c9b597-9310-4433-a845-7247bd1b9ea5,K12.MA-MA3-OAT-A.03
00618043-e92f-4c17-bb3a-7ea3024562f3,a5c9b597-9310-4433-a845-7247bd1b9ea5,K12.MA-MA3-OAT-A.04
00618043-e92f-4c17-bb3a-7ea3024562f3,d8405ec8-0bab-495e-937e-c1478046191e,K12.MA-MA3-OAT-A.01
00618043-e92f-4c17-bb3a-7ea3024562f3,d8405ec8-0bab-495e-937e-c1478046191e,K12.MA-MA3-OAT-A.03
00618043-e92f-4c17-bb3a-7ea3024562f3,d8405ec8-0bab-495e-937e-c1478046191e,K12.MA-MA3-OAT-A.02
00618043-e92f-4c17-bb3a-7ea3024562f3,d8405ec8-0bab-495e-937e-c1478046191e,K12.MA-MA3-OAT-A.04
006d063d-431d-4e1c-8eef-c6f800fed5fa,05fc2738-37c0-4870-9f82-66e96e850cfd,K12.MA-MA3-OAT-A.01
006d063d-431d-4e1c-8eef-c6f800fed5fa,b7f68623-12a0-49e0-b0c9-6f1bcd8def3e,K12.MA-MA3-OAT-A.04
007917ad-7fc7-45c3-a91b-602fb6ced2c0,55481e9c-31a4-4c37-99e2-71c59d454f7b,K12.MA-MA3-OAT-A.04
