user_id,collection_id,competency_code
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,1035c9e0-1c9f-4401-ad62-c381ae040b66,K12.MA-MA8-EE-C.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,1035c9e0-1c9f-4401-ad62-c381ae040b66,K12.MA-MA8-EE-C.01.02
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,1035c9e0-1c9f-4401-ad62-c381ae040b66,K12.MA-MA8-EE-C.01.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,7291ce86-565e-4b44-a706-9e6fafcbb3e0,K12.MA-MA8-EE-C.01.02
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,7291ce86-565e-4b44-a706-9e6fafcbb3e0,K12.MA-MA8-EE-C.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,7291ce86-565e-4b44-a706-9e6fafcbb3e0,K12.MA-MA8-EE-C.01.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,74dff390-16a5-4bdc-b130-c1765a6172e0,K12.MA-MA8-EE-C.01.02
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,74dff390-16a5-4bdc-b130-c1765a6172e0,K12.MA-MA8-EE-C.01.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,74dff390-16a5-4bdc-b130-c1765a6172e0,K12.MA-MA8-EE-C.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,7c3705ea-d10b-4492-b151-1817510bee64,K12.MA-MA8-EE-C.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,96f13018-4b1b-41ef-9a6a-a6d5586627b7,K12.MA-MA8-EE-C.01.02
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,96f13018-4b1b-41ef-9a6a-a6d5586627b7,K12.MA-MA8-EE-C.01
0326e1d1-acc8-44c7-bab3-9d92f9ee6807,96f13018-4b1b-41ef-9a6a-a6d5586627b7,K12.MA-MA8-EE-C.01.01
0381753c-6ae0-451d-9c62-3d861a73a62b,1035c9e0-1c9f-4401-ad62-c381ae040b66,K12.MA-MA8-EE-C.01.02
0381753c-6ae0-451d-9c62-3d861a73a62b,1035c9e0-1c9f-4401-ad62-c381ae040b66,K12.MA-MA8-EE-C.01
0381753c-6ae0-451d-9c62-3d861a73a62b,1035c9e0-1c9f-4401-ad62-c381ae040b66,K12.MA-MA8-EE-C.01.01
0381753c-6ae0-451d-9c62-3d861a73a62b,7291ce86-565e-4b44-a706-9e6fafcbb3e0,K12.MA-MA8-EE-C.01.01
0381753c-6ae0-451d-9c62-3d861a73a62b,7291ce86-565e-4b44-a706-9e6fafcbb3e0,K12.MA-MA8-EE-C.01.02
